"BirdID","ColNestLaying","Date","Time_Since_sun_rise","Colony","Nest","Playback_type","Playback_file","Recording_day","playback","N_chicks","D_chicks","sex","Season","Feeding_visits","BirdID_CNL","exact_age","minimum_age","age_seasons","age_categorical","temperature","wind","class_breeder"
"BJ29073","8_67_2019-11-18","2019-12-12",64,"8","67","C",10,2,"five",3,10,"M","2019/2020",3,"BJ29073-8_67_2019-11-18",219,219,2,"too_young",16.8,2.8,"helper"
"BJ29073","8_67_2019-11-18","2019-12-13",79.0000000000001,"8","67","F",6,3,"five",3,11,"M","2019/2020",6,"BJ29073-8_67_2019-11-18",220,220,2,"too_young",20.1,6.2,"helper"
"BJ29073","8_67_2019-11-18","2019-12-11",107,"8","67","M",13,1,"five",3,9,"M","2019/2020",5,"BJ29073-8_67_2019-11-18",218,218,2,"too_young",17.4,0,"helper"
"BJ29075","7_29_2019-12-11","2020-01-06",65.0000000000001,"7","29","C",2,2,"three",4,12,"F","2019/2020",3,"BJ29075-7_29_2019-12-11",244,244,2,"could_breed",23.9,2.8,"helper"
"BJ29075","7_29_2019-12-11","2020-01-05",55.9999999999999,"7","29","F",3,1,"three",4,11,"F","2019/2020",2,"BJ29075-7_29_2019-12-11",243,243,2,"could_breed",17.5,4.5,"helper"
"BJ29075","7_29_2019-12-11","2020-01-08",69,"7","29","M",5,3,"three",4,14,"F","2019/2020",3,"BJ29075-7_29_2019-12-11",246,246,2,"could_breed",18.8,3.4,"helper"
"BJ29078","7_29_2019-12-11","2020-01-06",65.0000000000001,"7","29","C",2,2,"three",4,12,"F","2019/2020",10,"BJ29078-7_29_2019-12-11",244,244,2,"could_breed",23.9,2.8,"helper"
"BJ29078","7_29_2019-12-11","2020-01-08",69,"7","29","M",5,3,"three",4,14,"F","2019/2020",4,"BJ29078-7_29_2019-12-11",246,246,2,"could_breed",18.8,3.4,"helper"
"BJ29078","7_29_2019-12-11","2020-01-05",55.9999999999999,"7","29","F",3,1,"three",4,11,"F","2019/2020",5,"BJ29078-7_29_2019-12-11",243,243,2,"could_breed",17.5,4.5,"helper"
"BJ29083","71_40_2019-10-11","2019-11-04",61,"71","40","C",2,1,"two",2,11,"M","2019/2020",3,"BJ29083-71_40_2019-10-11",181,181,2,"too_young",14.7,2,"helper"
"BJ29083","71_40_2019-10-11","2019-11-06",75,"71","40","M",4,3,"two",2,13,"M","2019/2020",2,"BJ29083-71_40_2019-10-11",183,183,2,"too_young",21.1,7.5,"helper"
"BJ29083","71_40_2019-10-11","2019-11-05",84,"71","40","F",7,2,"two",2,12,"M","2019/2020",2,"BJ29083-71_40_2019-10-11",182,182,2,"too_young",25.5,8.3,"helper"
"BJ29084","71_40_2019-10-11","2019-11-05",84,"71","40","F",7,2,"two",2,12,"F","2019/2020",3,"BJ29084-71_40_2019-10-11",182,182,2,"too_young",25.5,8.3,"helper"
"BJ29084","71_40_2019-10-11","2019-11-04",61,"71","40","C",2,1,"two",2,11,"F","2019/2020",4,"BJ29084-71_40_2019-10-11",181,181,2,"too_young",14.7,2,"helper"
"BJ29084","71_40_2019-10-11","2019-11-06",75,"71","40","M",4,3,"two",2,13,"F","2019/2020",5,"BJ29084-71_40_2019-10-11",183,183,2,"too_young",21.1,7.5,"helper"
"BJ29094","37_1_2019-10-15","2019-11-09",77,"37","1","F",3,3,"one",3,11,"M","2019/2020",3,"BJ29094-37_1_2019-10-15",185,185,2,"too_young",16.7,2.6,"helper"
"BJ29094","37_1_2019-12-15","2020-01-10",59.9999999999999,"37","1","C",12,3,"four",2,13,"M","2019/2020",4,"BJ29094-37_1_2019-12-15",247,247,2,"could_breed",19.2,2.6,"helper"
"BJ29094","37_1_2019-10-15","2019-11-08",80,"37","1","M",5,2,"one",3,10,"M","2019/2020",2,"BJ29094-37_1_2019-10-15",184,184,2,"too_young",15.1,3.2,"helper"
"BJ29094","37_1_2019-12-15","2020-01-08",101,"37","1","F",9,1,"four",2,11,"M","2019/2020",4,"BJ29094-37_1_2019-12-15",245,245,2,"could_breed",18.8,3.4,"helper"
"BJ29094","37_1_2019-12-15","2020-01-09",82.9999999999999,"37","1","M",4,2,"four",2,12,"M","2019/2020",2,"BJ29094-37_1_2019-12-15",246,246,2,"could_breed",17.8,0,"helper"
"BJ29095","37_1_2019-10-15","2019-11-09",77,"37","1","F",3,3,"one",3,11,"M","2019/2020",3,"BJ29095-37_1_2019-10-15",185,185,2,"too_young",16.7,2.6,"helper"
"BJ29095","37_1_2019-12-15","2020-01-10",59.9999999999999,"37","1","C",12,3,"four",2,13,"M","2019/2020",3,"BJ29095-37_1_2019-12-15",247,247,2,"could_breed",19.2,2.6,"helper"
"BJ29095","37_1_2019-12-15","2020-01-08",101,"37","1","F",9,1,"four",2,11,"M","2019/2020",2,"BJ29095-37_1_2019-12-15",245,245,2,"could_breed",18.8,3.4,"helper"
"BJ29095","37_1_2019-12-15","2020-01-09",82.9999999999999,"37","1","M",4,2,"four",2,12,"M","2019/2020",2,"BJ29095-37_1_2019-12-15",246,246,2,"could_breed",17.8,0,"helper"
"BJ29122","32_37_2019-12-16","2020-01-11",50,"32","37","F",8,3,"one",2,12,"M","2019/2020",2,"BJ29122-32_37_2019-12-16",245,245,2,"could_breed",20.4,4.8,"helper"
"BJ29124","32_37_2019-12-16","2020-01-11",50,"32","37","F",8,3,"one",2,12,"M","2019/2020",3,"BJ29124-32_37_2019-12-16",245,245,2,"could_breed",20.4,4.8,"helper"
"BJ29124","32_37_2019-12-16","2020-01-09",68,"32","37","C",1,1,"one",2,10,"M","2019/2020",2,"BJ29124-32_37_2019-12-16",243,243,2,"could_breed",17.8,0,"helper"
"BJ29124","32_37_2019-12-16","2020-01-10",70.9999999999999,"32","37","M",13,2,"one",2,11,"M","2019/2020",2,"BJ29124-32_37_2019-12-16",244,244,2,"could_breed",19.2,2.6,"helper"
"BJ29125","32_25_2019-10-23","2019-11-16",92,"32","25","C",1,1,"two",2,11,"M","2019/2020",2,"BJ29125-32_25_2019-10-23",189,189,2,"too_young",21.9,3,"helper"
"BJ29125","32_25_2019-10-23","2019-11-19",94,"32","25","F",7,2,"two",2,14,"M","2019/2020",3,"BJ29125-32_25_2019-10-23",192,192,2,"too_young",21.3,4.1,"helper"
"BJ29146","42_29_2019-12-12","2020-01-05",76,"42","29","M",13,2,"one",2,11,"F","2019/2020",3,"BJ29146-42_29_2019-12-12",235,235,2,"too_young",20.6,3.8,"helper"
