"BirdID","ColNestLaying","Date","Time_Since_sun_rise","Colony","Nest","Playback_type","Playback_file","Recording_day","playback","N_chicks","D_chicks","sex","Season","Feeding_visits","BirdID_CNL","exact_age","minimum_age","age_seasons","age_categorical","temperature","wind","class_breeder"
"BJ17482","71_15_2019-10-14","2019-11-05",84,"71","15","F",7,2,"two",3,9,"M","2019/2020",5,"BJ17482-71_15_2019-10-14",1109,1109,4,"could_breed",25.5,8.3,"parent"
"BJ17504","20_1_2017-12-28","2018-01-15",37,"20","1","F",6,1,"five",1,4,"F","2017/2018",2,"BJ17504-20_1_2017-12-28",456,456,2,"could_breed",22.4,2.1,"parent"
"BJ17520","32_5_2017-12-15","2018-01-12",35,"32","5","F",8,2,"two",2,14,"F","2017/2018",2,"BJ17520-32_5_2017-12-15",443,443,2,"could_breed",19.1,1.7,"helper"
"BJ17520","32_5_2017-12-15","2018-01-13",38,"32","5","M",4,3,"two",1,15,"F","2017/2018",1,"BJ17520-32_5_2017-12-15",444,444,2,"could_breed",19.4,1.9,"helper"
"BJ17521","32_5_2017-12-15","2018-01-11",43,"32","5","C",2,1,"two",1,13,"M","2017/2018",2,"BJ17521-32_5_2017-12-15",442,442,2,"could_breed",20.8,4.5,"helper"
"BJ17521","32_5_2017-12-15","2018-01-12",35,"32","5","F",8,2,"two",2,14,"M","2017/2018",1,"BJ17521-32_5_2017-12-15",443,443,2,"could_breed",19.1,1.7,"helper"
"BJ17521","32_1_2017-12-11","2018-01-12",35,"32","1","F",8,2,"two",2,17,"M","2017/2018",1,"BJ17521-32_1_2017-12-11",443,443,2,"could_breed",19.1,1.7,"helper"
"BJ17521","32_5_2017-12-15","2018-01-13",38,"32","5","M",4,3,"two",1,15,"M","2017/2018",3,"BJ17521-32_5_2017-12-15",444,444,2,"could_breed",19.4,1.9,"helper"
"BJ17521","32_1_2017-12-11","2018-01-13",38,"32","1","M",4,3,"two",2,18,"M","2017/2018",2,"BJ17521-32_1_2017-12-11",444,444,2,"could_breed",19.4,1.9,"helper"
"BJ17542","2_41_2017-10-05","2017-10-30",44,"2","41","F",3,1,"four",2,10,"M","2017/2018",1,"BJ17542-2_41_2017-10-05",359,359,2,"could_breed",16,5.5,"helper"
